seed,log10_rate_proxy,log10_mean_field_t,rate_trend_per_1000s,saturation_duty,field_variability,log10_max_dipole,log10_inertia_scale,log10_elapsed_s,label_log10_gain_ratio
1000,-9.349734034e-01,-4.352125490e+00,-1.074377024e+00,0.000000000e+00,3.404723681e-03,-3.170344138e-01,-1.218698227e+00,1.785329835e+00,2.857142857e-01
1000,-9.735934908e-01,-4.355330807e+00,-1.213804794e+00,0.000000000e+00,5.171534676e-03,-3.170344138e-01,-1.218698227e+00,1.959041392e+00,2.857142857e-01
1000,-1.007556249e+00,-4.359875955e+00,-1.166691944e+00,0.000000000e+00,6.952577434e-03,-3.170344138e-01,-1.218698227e+00,2.082785370e+00,2.857142857e-01
1000,-1.037806620e+00,-4.365768408e+00,-1.234306616e+00,0.000000000e+00,8.746672075e-03,-3.170344138e-01,-1.218698227e+00,2.178976947e+00,2.857142857e-01
1000,-1.073309619e+00,-4.373016808e+00,-1.242847056e+00,0.000000000e+00,1.055375752e-02,-3.170344138e-01,-1.218698227e+00,2.257678575e+00,2.857142857e-01
1000,-1.113338597e+00,-4.381629976e+00,-1.285081622e+00,0.000000000e+00,1.237279511e-02,-3.170344138e-01,-1.218698227e+00,2.324282455e+00,2.857142857e-01
1000,-1.151685054e+00,-4.391615451e+00,-1.301388021e+00,0.000000000e+00,1.420068134e-02,-3.170344138e-01,-1.218698227e+00,2.382017043e+00,2.857142857e-01
1000,-1.192939213e+00,-4.402977418e+00,-1.351539894e+00,0.000000000e+00,1.603115049e-02,-3.170344138e-01,-1.218698227e+00,2.432969291e+00,2.857142857e-01
1000,-1.232727342e+00,-4.415713761e+00,-1.401540899e+00,0.000000000e+00,1.785338096e-02,-3.170344138e-01,-1.218698227e+00,2.478566496e+00,2.857142857e-01
1000,-1.276371206e+00,-4.429811931e+00,-1.406667480e+00,0.000000000e+00,1.965012548e-02,-3.170344138e-01,-1.218698227e+00,2.519827994e+00,2.857142857e-01
