seed,ixx_kgm2,iyy_kgm2,izz_kgm2,rate0_deg_s,altitude_km,inclination_deg,raan_deg,arg_lat0_deg,gmst0_rad,max_dipole_am2,oracle_gain,oracle_cost
1000,7.091194399e-02,6.308350630e-02,4.731507984e-02,8.180322730e+00,620.668711,89.097766,289.934000,89.414159,1.192909302,4.819096093e-01,1.389495494e+05,1.838302628e-01
1001,5.431893905e-02,6.435146414e-02,9.881383639e-02,3.616824684e+00,793.646792,81.212257,91.248449,176.623554,1.326271938,1.146714901e-01,1.389495494e+05,3.700564631e-01
1002,3.495560967e-02,4.921347145e-02,3.613526806e-02,5.687043974e+00,736.139930,52.216005,334.386523,125.248753,2.299355159,4.883404433e-01,2.682695795e+05,2.315158924e-01
1003,1.622452951e-02,2.073133722e-02,2.387721618e-02,1.249665026e+01,788.230845,76.536331,78.132505,50.652111,4.443452914,3.646370342e-01,1.389495494e+05,4.614460436e-01
1004,7.323410957e-03,7.406921193e-03,9.835957005e-03,9.738673992e+00,509.699830,85.998960,231.030086,77.295113,0.254505434,1.550661078e-01,7.196856730e+04,3.614399713e-01
1005,2.024410713e-02,1.173573656e-02,1.638189183e-02,1.461888593e+01,686.730854,47.200295,340.053130,61.411507,4.195840182,1.567329722e-01,3.727593720e+04,3.050626856e-01
1006,3.777157413e-02,2.824025097e-02,2.634487800e-02,1.367913482e+01,669.941577,59.115650,310.648115,277.871582,0.521625981,1.458746465e-01,7.196856730e+04,6.718282653e-01
1007,1.804118642e-02,1.583631092e-02,1.014952175e-02,9.167569383e+00,543.196136,23.436720,293.919674,174.555363,5.082937051,1.814023124e-01,3.727593720e+04,6.833526644e-01
1008,2.495803272e-02,1.443792117e-02,2.797335477e-02,1.937218768e+01,507.764759,49.813531,68.029346,71.887657,2.635903148,3.504850510e-01,1.389495494e+05,3.377484772e-01
1009,1.123306363e-02,7.875391159e-03,1.068057962e-02,1.437284982e+01,411.263484,32.180961,335.506308,20.550617,4.749997164,9.350230493e-02,3.727593720e+04,1.587905009e+00
1010,1.568986389e-02,2.096497729e-02,2.184615135e-02,1.501312472e+01,433.562763,71.751719,94.010567,314.471930,0.252246386,4.898335688e-01,1.389495494e+05,2.324073786e-01
1011,3.057647069e-02,2.135815484e-02,1.792652196e-02,3.646077844e+00,794.712472,61.325093,11.153389,132.744527,3.074208131,2.345196783e-01,1.000000000e+06,5.386140504e-02
1012,3.913407301e-02,2.376526336e-02,4.139467933e-02,7.654322605e+00,796.275045,75.991800,263.738035,74.414713,2.065773810,2.189671561e-01,2.682695795e+05,4.402967961e-01
1013,1.012555917e-01,1.897905685e-01,1.562229397e-01,1.158344622e+01,705.404334,63.966850,178.548460,29.877931,6.227566804,2.785487293e-01,5.179474679e+05,7.984997211e-01
1014,5.215517704e-02,6.589058600e-02,7.005242790e-02,7.915220431e+00,633.760234,65.322664,273.008902,167.419776,2.127250571,1.677035304e-01,7.196856730e+04,5.377894556e-01
1015,4.105366653e-02,4.221811338e-02,2.356747006e-02,3.178643393e+00,525.005945,45.958315,92.397774,46.129488,5.921981156,2.619017168e-01,2.682695795e+05,9.560267144e-02
1016,2.264269435e-02,2.070848772e-02,2.561802448e-02,6.591914293e+00,679.783875,78.136512,127.661616,4.242000,4.631671218,1.869774129e-01,2.682695795e+05,1.300621177e-01
1017,3.230073397e-01,3.573793674e-01,2.726222015e-01,3.417076299e+00,526.021793,32.093796,108.822267,321.154353,5.059313755,1.060386785e-01,1.389495494e+05,1.367721642e+00
1018,7.954435662e-02,1.109527641e-01,1.066454774e-01,8.172300593e+00,593.887296,72.092730,289.478540,242.997483,0.519060108,2.265856618e-01,5.179474679e+05,6.622418942e-01
1019,2.082976895e-02,2.231231037e-02,2.988024190e-02,4.487539118e+00,602.485461,60.789189,242.771279,167.408578,1.814547797,6.470863110e-02,7.196856730e+04,3.388984929e-01
