mean_ch0,std_ch0,slope_ch0,autocorr1_ch0,max_abs_ch0,cusum_range_ch0,mean_ch1,std_ch1,slope_ch1,autocorr1_ch1,max_abs_ch1,cusum_range_ch1,mean_nis,max_nis,corr_01,exceed_frac,label_index,label
-3.840599497e-03,1.006329750e+00,-2.524508172e-01,-3.371842874e-02,2.841008632e+00,1.111594145e+00,-1.067226689e-01,1.087373888e+00,-5.749033141e-01,-1.134913503e-01,2.603378295e+00,1.333633783e+00,2.206486015e+00,1.044975264e+01,6.016425104e-03,1.000000000e-02,0,none
-8.294149387e-02,9.509076838e-01,2.022656029e-01,-1.035248659e-01,2.841008632e+00,9.504012150e-01,-9.653908487e-02,1.094833538e+00,-2.430408382e-01,-5.643119556e-02,2.603378295e+00,1.471162877e+00,2.119084986e+00,1.044975264e+01,-3.911051751e-02,1.000000000e-02,0,none
-2.264660109e-02,1.018747365e+00,1.540502337e-01,-1.536868948e-01,2.841008632e+00,8.298114294e-01,-1.324102899e-01,1.073941393e+00,-1.072483021e-01,-6.305996502e-02,3.123061114e+00,1.313785905e+00,2.209241664e+00,1.044975264e+01,-3.375980262e-02,2.000000000e-02,0,none
1.582734559e-02,1.079549715e+00,-6.798393620e-02,-1.203853823e-01,3.053420432e+00,8.360917607e-01,-1.093398983e-01,1.032134971e+00,5.696436370e-01,-3.838653825e-02,3.123061114e+00,1.414839298e+00,2.242935904e+00,1.044975264e+01,-3.301518404e-02,3.000000000e-02,0,none
-1.209369714e-01,9.853117877e-01,-1.215437191e-02,-2.091602745e-02,2.266705465e+00,1.116045945e+00,-1.501159885e-01,9.137492945e-01,-1.146525974e-01,-7.385813392e-02,2.293842464e+00,7.911700307e-01,1.842937653e+00,5.796584378e+00,3.590381542e-02,0.000000000e+00,0,none
3.073601826e-02,9.985324774e-01,1.677181931e-01,3.291341304e-03,3.653522418e+00,9.632878925e-01,7.733216123e-02,1.080142366e+00,-4.041936404e-01,-6.973864334e-02,3.094863107e+00,1.913091891e+00,2.170699606e+00,1.435304811e+01,3.793715296e-03,2.000000000e-02,0,none
-4.674823604e-01,1.033758683e+00,-5.896041786e-01,1.502213991e-01,3.195174452e+00,1.275218755e+00,7.950233292e-01,1.136068669e+00,-2.736492706e-01,-1.065218447e-02,3.329394837e+00,1.129782965e+00,3.209910886e+00,1.237011410e+01,1.452919085e-01,6.000000000e-02,1,sensor_bias
-5.334759844e-01,9.956927078e-01,-6.125478826e-01,1.468897885e-01,2.647827405e+00,1.399088061e+00,7.855936863e-01,1.170143477e+00,-2.815255582e-01,-3.433651640e-02,3.329394837e+00,1.127241839e+00,3.262393792e+00,1.237011410e+01,1.260304959e-01,6.000000000e-02,1,sensor_bias
-5.632065915e-01,9.886897357e-01,-4.948299722e-01,6.053319046e-02,2.763420032e+00,1.362756226e+00,7.823444178e-01,1.139975955e+00,2.061929293e-01,-3.296163271e-02,3.256679225e+00,1.086248254e+00,3.206317024e+00,1.237011410e+01,1.027154301e-01,6.000000000e-02,1,sensor_bias
-6.657584272e-01,8.891388090e-01,-3.789409170e-01,-1.306795185e-01,3.100263155e+00,9.773224353e-01,8.202581219e-01,1.062956142e+00,3.713247491e-01,-4.916401985e-02,3.256679225e+00,8.025301601e-01,3.036501251e+00,1.168801931e+01,1.437078849e-01,6.000000000e-02,1,sensor_bias
