index,seed,fault_class,onset_step,magnitude,channel,n_steps
0,1000,none,965,0.000000000000e+00,0,2000
1,1001,sensor_bias,1029,3.874341508963e-04,1,2000
2,1002,sensor_drift,866,4.189296621244e-05,1,2000
3,1003,sensor_stuck,731,0.000000000000e+00,0,2000
4,1004,sensor_dropout,600,0.000000000000e+00,1,2000
5,1005,actuator_loss_of_effectiveness,657,9.444496339109e-01,0,2000
6,1006,actuator_stuck,836,0.000000000000e+00,1,2000
7,1007,actuator_runaway,649,1.650362655838e-04,0,2000
8,1008,none,717,0.000000000000e+00,0,2000
9,1009,sensor_bias,639,-1.147885605676e-03,1,2000
10,1010,sensor_drift,666,-5.935087075116e-05,1,2000
11,1011,sensor_stuck,799,0.000000000000e+00,0,2000
12,1012,sensor_dropout,814,0.000000000000e+00,1,2000
13,1013,actuator_loss_of_effectiveness,1156,2.631835772594e-01,0,2000
14,1014,actuator_stuck,905,0.000000000000e+00,1,2000
15,1015,actuator_runaway,852,-1.253428874354e-04,1,2000
16,1016,none,759,0.000000000000e+00,1,2000
17,1017,sensor_bias,1243,2.355987525995e-03,1,2000
18,1018,sensor_drift,1016,5.144894659658e-05,1,2000
19,1019,sensor_stuck,752,0.000000000000e+00,0,2000
20,1020,sensor_dropout,1005,0.000000000000e+00,1,2000
21,1021,actuator_loss_of_effectiveness,862,2.646811301779e-01,0,2000
22,1022,actuator_stuck,600,0.000000000000e+00,1,2000
23,1023,actuator_runaway,837,1.821207596657e-04,0,2000
24,1024,none,826,0.000000000000e+00,1,2000
25,1025,sensor_bias,1175,-1.886044569342e-03,1,2000
26,1026,sensor_drift,719,6.514795950800e-05,1,2000
27,1027,sensor_stuck,619,0.000000000000e+00,1,2000
28,1028,sensor_dropout,1172,0.000000000000e+00,1,2000
29,1029,actuator_loss_of_effectiveness,1186,8.583488978673e-01,1,2000
30,1030,actuator_stuck,766,0.000000000000e+00,0,2000
31,1031,actuator_runaway,1085,-1.905931431627e-04,1,2000
32,1032,none,1215,0.000000000000e+00,0,2000
33,1033,sensor_bias,1180,2.482232050105e-03,1,2000
34,1034,sensor_drift,1287,2.272772888809e-05,1,2000
35,1035,sensor_stuck,824,0.000000000000e+00,0,2000
36,1036,sensor_dropout,806,0.000000000000e+00,0,2000
37,1037,actuator_loss_of_effectiveness,825,4.472471088097e-01,0,2000
38,1038,actuator_stuck,829,0.000000000000e+00,0,2000
39,1039,actuator_runaway,1209,1.013180079308e-04,1,2000
40,1040,none,1181,0.000000000000e+00,0,2000
41,1041,sensor_bias,1231,-1.330434689976e-03,1,2000
42,1042,sensor_drift,850,-4.336094946961e-05,1,2000
43,1043,sensor_stuck,717,0.000000000000e+00,1,2000
44,1044,sensor_dropout,608,0.000000000000e+00,0,2000
45,1045,actuator_loss_of_effectiveness,1194,4.419060204617e-01,1,2000
46,1046,actuator_stuck,661,0.000000000000e+00,0,2000
47,1047,actuator_runaway,987,-9.075709641125e-05,0,2000
48,1048,none,1110,0.000000000000e+00,1,2000
