h_fraction,sin_theta_now,b_norm_now,dh_last_window,sin_theta_next,b_norm_next,best_merit_next_3,merit_now,windows_since_dump,coast_h_fraction_3,coast_h_fraction_6,label
0.04775761153,0.9701033731,0.8305518895,0,0.9333452015,1.245574569,1.28140374,0.8057211895,1,1.020078006,1.161438725,0
0.2952301019,0.9261658651,1.245574569,0.3379243605,0.9239001057,1.522575153,1.406707344,1.153608649,1,1.142287774,1.164673314,1
0.1544530982,0.6525572921,1.522575153,0.1729641283,0.7864280657,1.353859888,1.064713413,0.9935675186,0,0.5555744161,1.23195382,0
0.4465267201,0.9709145867,1.353859888,0.3408404771,0.9999998888,0.9111810087,1.072187696,1.314482314,0.05,0.5644280475,1.444121049,0
0.5972808054,0.9931641739,0.9111810087,0.1647043703,0.8722878174,0.9034841295,1.276681252,0.9049523338,0.1,0.861231569,1.471850038,0
0.5402081092,0.7771286269,0.9034841295,0.1814147433,0.8729851295,1.339869004,1.389627126,0.7021233809,0.15,1.129693973,1.496654311,0
0.4686667193,0.9815284825,1.339869004,0.3761488517,0.9952788827,1.508549932,1.50142789,1.31511959,0.2,1.145446557,1.712245597,1
0.1201779544,0.9957695663,1.508549932,0.4333967843,0.9613918494,1.237561265,1.189781313,1.502168111,0,0.9132670342,1.510087361,0
0.5307759084,0.8296150572,1.237561265,0.4186893185,0.2172585214,0.8312357343,1.383738013,1.026699459,0.05,0.7800081801,1.639086286,0
0.7336286385,0.02530861014,0.8312357343,0.2509888404,0.8856428315,1.008680339,1.4136205,0.02103742114,0.1,0.9603472591,1.61182632,0
0.6642771704,0.9904702901,1.008680339,0.271218766,0.9296500037,1.414046519,1.314568352,0.9990679081,0.15,1.265829327,1.57722414,1
0.1027759971,0.8715523712,1.414046519,0.6993356261,0.9227679817,1.462534534,1.34958004,1.232415597,0,0.9149195986,1.434590589,1
0.1114062931,0.9821670985,1.462534534,0.02555590904,0.9970930143,1.107453166,1.127210797,1.4364533,0,0.3812960633,1.434033429,0
0.4157764415,0.98793884,1.107453166,0.3106230974,0.999971268,0.8049862438,1.33664013,1.094095996,0.05,0.5543752107,1.632606345,0
0.4768182528,0.9898511286,0.8049862438,0.1064119515,0.8996996597,1.12768412,1.228138577,0.7968165419,0.1,1.009186694,1.6416232,0
0.3269448974,0.6471105393,1.12768412,0.2766759155,0.7591840341,1.461054927,1.154532599,0.7297362791,0.15,1.27771313,1.69134901,0
0.4205684531,0.9999718441,1.461054927,0.4571993908,0.9475158735,1.385217309,1.312515388,1.461013789,0.2,1.228381999,1.921637857,1
0.1276001363,0.6887203678,1.385217309,0.3450641622,0.3107950076,0.9776012472,1.243414981,0.9540273743,0,0.6309644113,1.262276956,0
0.4348020363,0.5561238574,0.9776012472,0.3212768282,0.4613545446,0.8432477667,1.475756076,0.5436673766,0.05,0.6601648102,1.262131733,0
0.5406764716,0.597605575,0.8432477667,0.1677929196,0.9800359345,1.243878923,1.455742553,0.5039295665,0.1,0.9633989455,1.105979396,0
0.4700213558,0.9822785486,1.243878923,0.2990866195,0.8566733308,1.475959109,1.264414806,1.221835583,0.15,1.182826784,1.062985241,0
0.5549543846,0.7720750108,1.475959109,0.4700834703,0.7078817327,1.280486648,0.909489811,1.139551145,0.2,1.110053937,1.356085127,1
0.3675996914,0.5874853962,1.280486648,0.371166849,0.924965224,0.8694689282,0.9666086077,0.7522672056,0,0.4819902914,1.597356148,0
0.5357014374,0.9906137097,0.8694689282,0.3621651831,0.92158678,0.9353431652,1.454580031,0.8613078404,0.05,0.5946852522,1.772245994,0
0.4921979361,0.9769824291,0.9353431652,0.2114413221,0.9963397683,1.344139613,1.374071107,0.9138138375,0.1,1.078733203,1.777522677,0
0.2197259256,0.6421279345,1.344139613,0.381581888,0.3887283498,1.456343191,0.6102523011,0.8631095932,0.15,1.334875078,1.820783353,0
0.4151256647,0.9967303533,1.456343191,0.5269651026,0.9529721446,1.156247939,1.101872078,1.451581463,0.2,1.251376467,2.005658523,0
0.8280164665,0.7321326998,1.156247939,0.4862063547,0.04402945887,0.8098541342,1.410018619,0.8465269254,0.25,1.077987099,2.175325731,1
0.6571167595,0.7383418146,0.8098541342,0.5973981269,0.9743552759,1.057704259,1.128232218,0.597949171,0,0.9823357862,1.695439479,0
0.4501774639,0.814879676,1.057704259,0.2959672899,0.5117954138,1.4189101,0.7261916819,0.861901704,0.05,1.285694155,1.79949407,0
0.3918595184,0.6562530757,1.4189101,0.4959316506,0.812331735,1.402660417,1.13942557,0.9311641176,0.1,1.324919922,2.107847807,0
0.7613897985,0.9998055095,1.402660417,0.5312489938,0.9932904011,1.025491184,1.166381914,1.402387613,0.15,1.221876533,2.45256299,1
0.1504754293,0.8227600409,1.025491184,0.6511320969,0.9978336752,0.8187124744,0.9156769923,0.8437331684,0,0.5445544034,1.451214199,1
0.06883145586,0.8973356778,0.8187124744,0.1055042686,0.9426938003,1.187184819,1.119151768,0.7346599132,0,1.011238446,1.290980538,0
0.1633304204,0.9930657602,1.187184819,0.1975696216,0.9650748377,1.462018555,1.41095732,1.178952594,0.05,1.262452375,1.217237106,0
0.5330170855,0.8931020618,1.462018555,0.3768147048,0.7592771417,1.318512593,1.001116473,1.305731786,0.1,1.19954241,1.375207591,1
0.3193500877,0.2626622903,1.318512593,0.3885516224,0.6625962192,0.9074238251,1.030538137,0.3463235375,0,0.2562114588,0.9309226346,0
0.4171243246,0.3866075131,0.9074238251,0.2345625367,0.9020938119,0.8929762288,1.399076502,0.3508168683,0.05,0.3902272067,0.9484259219,0
0.4043486937,0.8070630601,0.8929762288,0.1091112357,0.999466627,1.306341128,1.424502812,0.7206881278,0.1,0.7624146461,0.8342214231,0
0.2444494522,0.9892171682,1.306341128,0.2692179021,0.8799415694,1.470526697,1.29397757,1.292255071,0.15,0.9758761675,0.8897718571,0
0.3873523049,0.9381692773,1.470526697,0.4134344852,0.9021547367,1.210894049,1.092413802,1.379602969,0.2,0.9221293777,1.220981595,0
0.7342529406,0.9887377199,1.210894049,0.3929637083,0.964171631,0.8267502658,1.334447701,1.197256621,0.25,0.7561608885,1.531650909,1
0.1351924078,0.9021178927,0.8267502658,0.6260413929,0.9976203587,1.009377903,1.410124575,0.7458262076,0,0.5514677517,1.004483207,0
0.1347236551,0.8980396859,1.009377903,0.05187482882,0.8443433356,1.403464224,1.296618818,0.9064614154,0.05,0.91284001,0.8941356121,0
0.2011742844,0.6715601035,1.403464224,0.24869974,0.4954972238,1.444579681,0.7157852217,0.9425105798,0.1,1.038105839,0.9429243835,1
0.2014374298,0.3542747718,1.444579681,0.06066852835,0.483744902,1.090475685,1.026258922,0.511778137,0,0.6303232921,0.9952186714,0
0.465291616,0.5805573809,1.090475685,0.3408644411,0.554477743,0.8059639713,1.466002685,0.6330837076,0.05,0.4387446289,1.14657637,0
0.6217471592,0.4720827652,0.8059639713,0.1742874728,0.9655596993,1.141609729,1.463854019,0.3804817002,0.1,0.6253097355,1.12406039,0
0.5273242162,0.9962426466,1.141609729,0.1744056601,0.952607995,1.471533283,1.40179437,1.137320297,0.15,0.9591884105,1.09196502,0
0.3163423447,0.590908393,1.471533283,0.4028682365,0.2949326609,1.387194442,0.8275642129,0.8695413674,0.2,1.050023403,1.338138797,1
0.2592668211,0.6401135623,1.387194442,0.2594622871,0.8907645142,0.9719182021,0.9651305122,0.8879619759,0,0.6461825433,1.6645593,0
0.5364323345,0.9920342709,0.9719182021,0.4094498793,0.9758909457,0.8504771018,1.493256004,0.964176165,0.05,0.6132309198,1.945825238,0
0.6348297151,0.9997004025,0.8504771018,0.2154791085,0.9625110243,1.269782331,1.346947613,0.850222301,0.1,1.048120464,2.106278144,0
